sessionDate,seasonName,metric,category,value,pid
02/07/2023,2023/2024,bio_baseline_completeness,bio,0.0,1
02/07/2023,2023/2024,bio _baseline_composite,bio,,1
02/07/2023,2023/2024,emboss_baseline_score,total,,1
02/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0,1
02/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,,1
02/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0,1
02/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,,1
02/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0,1
02/07/2023,2023/2024,sleep_baseline_composite,sleep,,1
02/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.0,1
02/07/2023,2023/2024,soreness_baseline_composite,soreness,,1
02/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.0,1
02/07/2023,2023/2024,subjective_baseline_composite,subjective,,1
03/07/2023,2023/2024,bio_baseline_completeness,bio,0.0,1
03/07/2023,2023/2024,bio_baseline_composite,bio,,1
03/07/2023,2023/2024,emboss_baseline_score,total,,1
03/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0,1
03/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,,1
03/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0,1
03/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,,1
03/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0,1
03/07/2023,2023/2024,sleep_baseline_composite,sleep,,1
03/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.0,1
03/07/2023,2023/2024,soreness_baseline_composite,soreness,,1
03/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.0,1
03/07/2023,2023/2024,subjective_baseline_composite,subjective,,1
04/07/2023,2023/2024,bio_baseline_completeness,bio,0.0,1
04/07/2023,2023/2024,bio_baseline_composite,bio,,1
04/07/2023,2023/2024,emboss_baseline_score,total,0.0,1
04/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0,1
